id,section,subsection,question_number,question_text,question_type,options,is_required,created_at,updated_at
00da84cc-0a34-48c5-accd-891da6992df5,COMMUNITY_DATA,COMMUNITY_SUPPORT,57,Does the community support school activities?,yes_no,,true,2025-07-11 11:53:55.32299+00,2025-07-11 11:53:55.32299+00
01d5d66b-d95e-4839-8284-b7f3c9063437,SCHOOL_INFRASTRUCTURE,BUILDINGS,7,Are the classroom floors in good condition?,yes_no,,true,2025-07-11 11:53:55.32299+00,2025-07-11 11:53:55.32299+00
036fa6eb-a7a9-4f60-968c-be550fee1c3f,INFRASTRUCTURE_DEVELOPMENT,RECENT_IMPROVEMENTS,63,What improvements were made?,text,,false,2025-07-11 11:53:55.32299+00,2025-07-11 11:53:55.32299+00
0ab0bb79-629b-4cee-9080-c6efd28dbb6f,SCHOOL_INFRASTRUCTURE,TOILETS,12,Is there running water in the toilets?,yes_no,,true,2025-07-11 11:53:55.32299+00,2025-07-11 11:53:55.32299+00
0b921aaf-134d-4f07-a2f5-bd2abc6d10c7,INFRASTRUCTURE_DEVELOPMENT,GENERAL,80,Are there any safety concerns with the current infrastructure?,yes_no,,true,2025-07-11 11:53:55.32299+00,2025-07-11 11:53:55.32299+00
0d563140-f65f-435e-997f-b5c32bb6e807,INFRASTRUCTURE_DEVELOPMENT,GENERAL,81,"If yes, what are the safety concerns?",text,,false,2025-07-11 11:53:55.32299+00,2025-07-11 11:53:55.32299+00
0e2dbb68-6a84-4208-8a61-9ff569d037ff,INFRASTRUCTURE_DEVELOPMENT,MAINTENANCE,74,Who is responsible for maintenance?,multiple_choice,"[""School Staff"",""Community"",""Government"",""Contractors"",""Combination""]",true,2025-07-11 11:53:55.32299+00,2025-07-11 11:53:55.32299+00
0f7d616a-469b-4be8-9c08-fa497a6861a1,SCHOOL_INFRASTRUCTURE,WATER_SUPPLY,18,How many water points are available in the school?,number,,true,2025-07-11 11:53:55.32299+00,2025-07-11 11:53:55.32299+00
127a8b1e-5507-46c6-9d9c-ae6159847f49,SCHOOL_INFRASTRUCTURE,BUILDINGS,3,Are there any classrooms that need urgent repairs?,yes_no,,true,2025-07-11 11:53:55.32299+00,2025-07-11 11:53:55.32299+00
136693f4-c1cd-4823-9c89-8eec7e039256,SCHOOL_INFRASTRUCTURE,FURNITURE,26,How many students share one desk?,number,,true,2025-07-11 11:53:55.32299+00,2025-07-11 11:53:55.32299+00
155c08a0-9c4e-44bf-a279-fc20dcd9c981,INFRASTRUCTURE_DEVELOPMENT,MAINTENANCE,76,What is the annual maintenance budget?,number,,false,2025-07-11 11:53:55.32299+00,2025-07-11 11:53:55.32299+00
176f6f39-a804-46df-b34a-06ce809f3301,INFRASTRUCTURE_DEVELOPMENT,GENERAL,100,What is the condition of the science labs?,multiple_choice,"[""Excellent"",""Good"",""Fair"",""Poor"",""Very Poor""]",false,2025-07-11 11:53:55.32299+00,2025-07-11 11:53:55.32299+00
1905e5b3-c75b-4f9d-80d4-8547dddd4b5e,SCHOOL_INFRASTRUCTURE,ELECTRICITY,22,Is the electricity supply reliable?,yes_no,,true,2025-07-11 11:53:55.32299+00,2025-07-11 11:53:55.32299+00
1ad9e81a-c4cb-4a39-b022-1e367b1286d9,COMMUNITY_DATA,COMMUNITY_SUPPORT,60,Does the community provide security for the school?,yes_no,,true,2025-07-11 11:53:55.32299+00,2025-07-11 11:53:55.32299+00
1b364eaf-7598-4be9-9378-908d1c366095,INFRASTRUCTURE_DEVELOPMENT,GENERAL,83,What accessibility improvements are needed?,text,,false,2025-07-11 11:53:55.32299+00,2025-07-11 11:53:55.32299+00
1e6eb026-3633-4b23-af40-600d941f2ad6,INFRASTRUCTURE_DEVELOPMENT,GENERAL,95,How many books are in the library?,number,,false,2025-07-11 11:53:55.32299+00,2025-07-11 11:53:55.32299+00
1ed3addb-047b-4bdd-9407-d4618adfcaac,INFRASTRUCTURE_DEVELOPMENT,GENERAL,96,Is there a computer lab?,yes_no,,true,2025-07-11 11:53:55.32299+00,2025-07-11 11:53:55.32299+00
20edcd79-dd07-4a53-b14b-e5a6d9ad7b62,INFRASTRUCTURE_DEVELOPMENT,GENERAL,85,Is there a first aid kit available?,yes_no,,true,2025-07-11 11:53:55.32299+00,2025-07-11 11:53:55.32299+00
2403553f-26b9-4a04-a487-b7d342623b61,INFRASTRUCTURE_DEVELOPMENT,GENERAL,89,Are there adequate ventilation systems?,yes_no,,true,2025-07-11 11:53:55.32299+00,2025-07-11 11:53:55.32299+00
2524eeb2-33c4-419d-830e-f8002e69e0e7,SCHOOL_INFRASTRUCTURE,BUILDINGS,6,How many classrooms have proper windows and doors?,number,,true,2025-07-11 11:53:55.32299+00,2025-07-11 11:53:55.32299+00
261f2187-b2d8-405b-b18b-27cf7b5dac60,STUDENT_DATA,ENROLLMENT,45,What is the attendance rate today?,percentage,,true,2025-07-11 11:53:55.32299+00,2025-07-11 11:53:55.32299+00
